citations,specificity,title,author,year,isbn,in_seed_index,weighted,score,key
24,0.882,The classical theory of fields,Landau,1995,978-0-7506-2768-9,False,0.008749558876999998,0.007718192962812978,isbn:9780750627689
19,0.948,Encyclopaedia of Physics,R.G. Lerner,2005,978-0-07-025734-4,False,0.008137764249999999,0.007711320856167807,isbn:9780070257344
8,0.951,QED: The Strange Theory of Light and Matter,R. Feynman,1985,978-0-691-08388-9,False,0.00809216563,0.007698344005856813,isbn:9780691083889
10,0.954,Introducing Einstein's Relativity,d'Inverno,1992,978-0-19-859686-8,False,0.008064644762,0.007693176609399533,isbn:9780198596868
9,0.907,Physics for Scientists and Engineers,Serway,2004,978-0-534-40842-8,False,0.008480167839999999,0.007689416187880505,isbn:9780534408428
6,0.914,"The Theory of Almost Everything: The Standard Model, the Unsung Triumph of Modern Physics",Oerter,2006,978-0-13-236678-6,False,0.008391160400000002,0.007672395966262165,isbn:9780132366786
23,0.908,Analytical mechanics,Hand,1998,978-0-521-57572-0,False,0.008442840666,0.007664921308635271,isbn:9780521575720
9,0.949,Principles of Physical Cosmology,Peebles,1993,978-0-691-01933-8,False,0.008071288892000001,0.00766334129042893,isbn:9780691019338
13,0.942,Cosmological Physics,Peacock,1998-12-28,978-0-521-41072-4,False,0.008128816173999999,0.007660748044250749,isbn:9780521410724
6,0.942,The New Quantum Universe,Hey,2003,978-0-521-56457-1,False,0.008130590698000002,0.00765673790458905,isbn:9780521564571
29,0.826,Compendium of Quantum Physics,Hentschel,2009,978-3-540-70622-9,False,0.009269119385999995,0.0076520210886906834,isbn:9783540706229
20,0.882,Quantum Field Theory in a Nutshell,Zee,2010,978-0-691-14034-6,True,0.008665216966,0.0076446015053142965,isbn:9780691140346
22,0.817,Quantum Theory: Concepts and Methods,Peres,1993,0-7923-2549-4,False,0.009351663635999999,0.007636572839806593,isbn:0792325494
6,0.954,Einstein from 'B' to 'Z',Stachel,2002,978-0-8176-4143-6,False,0.008005330099999998,0.007635283479768802,isbn:9780817641436
18,0.884,McGraw Hill Encyclopaedia of Physics,C.B. Parker,1994,978-0-07-051400-3,False,0.008625148653,0.007626076608415479,isbn:9780070514003
13,0.919,Quantum field theory,Srednicki,2007,978-0-521-86449-7,True,0.00829487544,0.007620095973906284,isbn:9780521864497
5,0.949,Quantum Gravity: From Theory to Experimental Search,Thiemann,2003,978-3-540-40810-9,False,0.0080228125,0.007612479357646331,isbn:9783540408109
9,0.957,A First Course in General Relativity,Schutz,2009,978-0-521-88705-2,True,0.007949202022,0.007603536543493934,isbn:9780521887052
26,0.867,Inward bound: of matter and forces in the physical world,Pais,2002,978-0-19-851997-3,False,0.008770160367999998,0.0076017746071293715,isbn:9780198519973
10,0.919,"Physics for Scientists and Engineers: Electricity, Magnetism, Light, and Elementary Modern Physics",Tipler,2004,978-0-7167-0810-0,False,0.008264812623,0.007596615106697509,isbn:9780716708100
28,0.935,The History of the Telescope,Henry C. King,28 September 2003,978-0-486-43265-6,False,0.008113729281000001,0.0075894873925312425,isbn:9780486432656
5,0.95,The Quantum Revolution,Peacock,2008,978-0-313-33448-1,False,0.00798561888,0.0075852650924281865,isbn:9780313334481
5,0.94,QED: The Strange Theory of Light and Matter,Feynman,1985,978-0-691-12575-6,False,0.00806209318,0.007578182910114599,isbn:9780691125756
9,0.961,General relativity,Wald,1984,978-0-226-87032-8,True,0.007884944390000002,0.00757403552926463,isbn:9780226870328
7,0.943,Subtle is the Lord: The Science and the Life of Albert Einstein,Pais,1982,978-0-19-853907-0,False,0.008034379897,0.00757271777760545,isbn:9780198539070
10,0.936,Quantum Field Theory in a Nutshell,Zee,2010,978-0-691-01019-9,True,0.008089040622,0.0075714589676286245,isbn:9780691010199
3,0.972,Story of the W and Z,Watkins,1986,978-0-521-31875-4,False,0.0077842469,0.007570011493504797,isbn:9780521318754
14,0.922,Never at Rest: A Biography of Isaac Newton,Westfall,1983,978-0-521-27435-7,False,0.008196543044999999,0.007553391165527009,isbn:9780521274357
6,0.93,Particles and Nuclei: An Introduction to the Physical Concepts,Povh,2004,978-3-540-20168-7,False,0.008119815220000002,0.007552182749320169,isbn:9783540201687
13,0.942,Dynamics and Relativity,Forshaw,2009,978-0-470-01460-8,False,0.008013180691999997,0.0075470507721316455,isbn:9780470014608
4,0.951,Everything's Relative and Other Fables in Science and Technology,Rothman,2003,978-0-471-20257-8,False,0.007922459058999999,0.007533367425920358,isbn:9780471202578
4,0.951,The Cambridge Companion to Newton,Iliffe,2016,9781107015463,False,0.00792374319,0.0075317102200244635,isbn:9781107015463
7,0.965,Optics,Hecht,2017,978-0-133-97722-6,True,0.007793033699,0.007522417943598414,isbn:9780133977226
3,0.962,Gauge Theory of Weak Interactions,Greiner,2000,978-3-540-67672-0,False,0.0078139227,0.007513765820667871,isbn:9783540676720
5,0.962,"Essential Relativity: Special, general and cosmological",Rindler,1986,978-0-387-10090-6,False,0.007802506029999999,0.007504669090389237,isbn:9780387100906
6,0.975,The Cosmic Century: A History of Astrophysics and Cosmology,Longair,2006,978-0-521-47436-8,False,0.007695168538000001,0.007501778823465418,isbn:9780521474368
3,0.96,Theory and Experiment in Gravitational Physics,Will,2018,978-1-107-11744-0,True,0.007810435169000001,0.007501081912552389,isbn:9781107117440
12,0.915,The Variational Principles of Mechanics,Lanczos,1970,0-486-65067-7,False,0.00820133459,0.007500545658808988,isbn:0486650677
5,0.951,Quantum Field Theory,Itzykson,1980,978-0-07-032071-0,True,0.00788630671,0.007497264390956395,isbn:9780070320710
7,0.969,Gravity: An introduction to Einstein's general relativity,Hartle,2003,978-0-8053-8662-2,True,0.00773779165,0.007497104567311643,isbn:9780805386622
4,0.974,Hans Bethe and His Physics,Brown,2006,978-981-256-609-6,False,0.0076920285599999996,0.007494624503210232,isbn:9789812566096
6,0.973,Special Relativity,French,1968,0-393-09793-5,False,0.00770160636,0.007494243436811438,isbn:0393097935
3,0.919,Modern physics,Krane,2020,978-1-119-49548-2,False,0.008149993900000001,0.007490936064883025,isbn:9781119495482
12,0.944,The Variational Principles of Mechanics,Cornelius Lanczos,1986,978-0-486-65067-8,False,0.007927975778000002,0.007484602698440596,isbn:9780486650678
4,0.966,Basic Relativity,Richard A. Mould,2001,978-0-387-95210-9,False,0.0077430441300000005,0.007480338811002361,isbn:9780387952109
3,0.968,General Relativity and Gravitation,"Peebles, P. J. E.",December 2004,978-981-256-424-5,True,0.00772125337,0.007475019387806554,isbn:9789812564245
8,0.971,Physics for Scientists and Engineers: With Modern Physics,P.A. Tipler,2008,978-1-4292-0265-7,False,0.0076923163919999996,0.007472671637468827,isbn:9781429202657
4,0.937,"Constituents of Matter: Atoms, Molecules, Nuclei and Particles",Raith,2001,978-0-8493-1202-1,False,0.00797299632,0.007469941699975253,isbn:9780849312021
21,0.844,Thermal Physics,Kittel,1980,978-0-7167-1088-2,True,0.008849888106000002,0.007466278347691143,isbn:9780716710882
3,0.969,Modern elementary particle physics,Kane,1987,978-0-201-11749-3,False,0.0077062633,0.007465258488333206,isbn:9780201117493
3,0.972,Relativity: An introduction to space-time physics,Adams,1997,978-0-7484-0621-0,False,0.007683544699999999,0.00746469275159072,isbn:9780748406210
5,0.963,The Future of Theoretical Physics and Cosmology: Celebrating Stephen Hawking's 60th Birthday,,2003,978-0-521-82081-3,False,0.007752771480000001,0.007464678606549813,isbn:9780521820813
4,0.973,Concepts of Mass in Classical and Modern Physics,[[Max Jammer]],1997,978-0-486-29998-3,False,0.00766452645,0.00745493645202933,isbn:9780486299983
4,0.973,Field Guide to Geometrical Optics,Greivenkamp,2004,978-0-8194-5294-8,False,0.007655261787,0.007448873939650069,isbn:9780819452948
20,0.884,General Relativity,Wald,1984,978-0-226-87033-5,True,0.008418555866,0.007445984293269755,isbn:9780226870335
12,0.916,Classical Mechanics,Taylor,2005,978-1-891389-22-1,True,0.00812189695,0.00744319045027127,isbn:9781891389221
4,0.961,"Micrographia: or, Some physiological descriptions of minute bodies made by magnifying glasses",Hooke,1665,978-0-486-49564-4,False,0.007744071192,0.007442549216936801,isbn:9780486495644
4,0.96,Understanding physics,David C. Cassidy,2002,978-0-387-98756-9,False,0.007752489089999999,0.007440617528897442,isbn:9780387987569
21,0.875,Electromagnetism,Grant,2008,978-0-471-92712-9,False,0.008503165379000003,0.007438677050948184,isbn:9780471927129
3,0.976,The illustrated a brief history of time,Hawking,1996,978-0-553-10374-8,False,0.00761746127,0.00743566896236156,isbn:9780553103748
3,0.967,Unrolling Time: Christiaan Huygens and the Mathematization of Nature,Yoder,1988,978-0-521-34140-0,False,0.00768369364,0.0074336024229570965,isbn:9780521341400
4,0.974,Fusion: The Energy of the Universe,McCracken,2012,978-0-12-384656-3,False,0.00762852143,0.0074333718806062245,isbn:9780123846563
29,0.819,Electricity and Magnetism,"Purcell and Morin, Harvard University.",2013,978-1-107-01402-2,True,0.009073048002000008,0.0074285897010499665,isbn:9781107014022
4,0.933,Guidebook,"Carroll, Sean",2007,978-1-59803-350-2,False,0.007955751229999999,0.0074245248664602205,isbn:9781598033502
3,0.971,"Astrophysics, Clocks and Fundamental Constants",Kramer,2004,978-3-540-21967-5,False,0.007649409421000001,0.007424331857464762,isbn:9783540219675
8,0.955,A first course in general relativity,Schutz,1985,0-521-27703-5,True,0.007773107741999998,0.0074200190787755875,isbn:0521277035
7,0.944,Ptolemy's Theory of Visual Perception: An English Translation of the Optics,A. Mark Smith,1996,978-0-87169-862-9,False,0.007863985388,0.007419878738459179,isbn:9780871698629
3,0.969,A Most Incomprehensible Thing: Notes Towards a Very Gentle Introduction to the Mathematics of Relativity,Collier,2017,978-0-9573894-6-5,False,0.00765590973,0.007417903542815202,isbn:9780957389465
9,0.927,Quantum Generations: A History of Physics in the Twentieth Century,Kragh,2002,978-0-691-09552-3,False,0.007998704631999998,0.007416878111050577,isbn:9780691095523
5,0.959,"Theories of light, from Descartes to Newton",A.I. Sabra,1981,978-0-521-28436-3,False,0.0077284469899999994,0.00741351716184224,isbn:9780521284363
4,0.981,Going Critical,"Janssen, Michel",2010,978-1-4020-1308-9,False,0.0075543962699999995,0.007407824452893998,isbn:9781402013089
5,0.97,Renaissance Theories of Vision (Visual Culture in Early Modernity),El-Bizri,2010,978-1-4094-0024-0,False,0.007636471296999999,0.007406344086395295,isbn:9781409400240
3,0.976,Kepler,Caspar,1993,0-486-67605-6,False,0.007589060325,0.0074047096087594706,isbn:0486676056
23,0.918,Classical Mechanics,Goldstein,2002,978-0-201-65702-9,True,0.008068354299,0.00740413158541193,isbn:9780201657029
4,0.977,Optical Physics,Ariel Lipson,28 October 2010,978-0-521-49345-1,False,0.007572702917,0.007398977397221184,isbn:9780521493451
7,0.963,Renaissance Vision from Spectacles to Telescopes,Vincent Ilardi,2007,978-0-87169-259-7,False,0.007684570757,0.00739740272622158,isbn:9780871692597
3,0.976,The analysis of starlight,Hearnshaw,1986,978-0-521-39916-6,False,0.007575946187999999,0.007394594996305788,isbn:9780521399166
4,0.957,Quantum Field Theory for the Gifted Amateur,Lancaster,2014,978-0-19-969933-9,True,0.0077220297999999995,0.007389773927255333,isbn:9780199699339
5,0.974,Introduction to Fourier Optics,J. Goodman,2005,978-0-9747077-2-3,False,0.007579967922,0.007386309263147556,isbn:9780974707723
9,0.887,Quantum Mechanics,Cohen-Tannoudji,2005,0-471-16433-X,True,0.008326575677000002,0.0073831162182056605,isbn:047116433X
3,0.98,"Astronomy, A Physical Perspective",Cutner,2003,978-0-521-82196-4,False,0.007536119499999999,0.007382084010802647,isbn:9780521821964
3,0.976,"Applied Photographic Optics: Lenses and Optical Systems for Photography, Film, Video, Electronic and Digital Imaging",Sidney F. Ray,2002,978-0-240-51540-3,False,0.007563767692000001,0.00738038770019841,isbn:9780240515403
3,0.971,Theory and Experiment in Gravitational Physics,Will,1993,978-0521439732,True,0.007595272170000001,0.00737544833367724,isbn:9780521439732
4,0.905,Q is for quantum: an encyclopedia of particle physics,Gribbin,1999,978-0-684-85578-3,False,0.00814564033,0.0073752619880900015,isbn:9780684855783
3,0.976,Basic Photography,M.J. Langford,2000,978-0-240-51592-2,False,0.007552508038,0.00737277281628684,isbn:9780240515922
3,0.974,Exploring Black Holes: Introduction to General Relativity,Taylor,2000,978-0-201-38423-9,True,0.00757171861,0.007372619214170561,isbn:9780201384239
8,0.956,Introduction to Solid State Physics,Kittel,1996,978-0-471-11181-8,True,0.007705987264000001,0.0073672029755925865,isbn:9780471111818
13,0.879,Principles of Quantum Mechanics,Shankar,1994,978-0-306-44790-7,True,0.008380302727,0.0073667492378447245,isbn:9780306447907
3,0.972,Exact Solutions of Einstein's Field Equations,Stephani,2003,978-0-521-46702-5,False,0.0075738676860000005,0.007362428176935179,isbn:9780521467025
4,0.963,Stargazer: The Life and Times of the Telescope,Fred Watson,1 October 2007,978-1-74175-383-7,False,0.0076460469960000004,0.007361745544271917,isbn:9781741753837
3,0.966,Cosmology,Baumann,2022,978-1-108-83807-8,False,0.007622126840000001,0.007361676859818864,isbn:9781108838078
6,0.934,Basics of Statistical Physics,Müller-Kirsten,2013,978-981-4449-53-3,False,0.007880109575,0.007357700384442328,isbn:9789814449533
5,0.903,Entropy and its Physical Meaning,Dugdale,1996,978-0-7484-0569-5,False,0.0081518098,0.007357078626217235,isbn:9780748405695
3,0.974,"Tradition, Transmission, Transformation: Proceedings of Two Conferences on Pre-modern Science held at the University of Oklahoma",G. Hatfield,1996,978-90-04-10119-7,False,0.007552132180000001,0.007355392416405555,isbn:9789004101197
3,0.957,General Theory of Relativity,Dirac,1975,978-0-691-01146-2,False,0.007686181980000001,0.007354929657193494,isbn:9780691011462
6,0.922,A to Z of Thermodynamics,"Perrot, Pierre",1998,978-0-19-856552-9,False,0.00797670088,0.007354231904545043,isbn:9780198565529
14,0.933,Classical mechanics,Taylor,2005,1-891389-22-X,True,0.007880376703,0.0073528070952410774,isbn:189138922X
3,0.976,It's about time: understanding Einstein's relativity,Mermin,2009,978-0-691-14127-5,False,0.007528637289999999,0.007350604161594023,isbn:9780691141275
3,0.972,"Electricity and Magnetism Berkeley, Physics Course Volume 2 (2nd ed.)","Purcell, Edward M.",1985,978-0-07-004908-6,True,0.007560982129000001,0.007350323322550269,isbn:9780070049086
5,0.962,Thinking about Life: The History and Philosophy of Biology and Other Sciences,Paul S. Agutter,12 December 2008,978-1-4020-8865-0,False,0.0076368371,0.007348807119734953,isbn:9781402088650
9,0.939,Lasers,Siegman,1986,978-0-935702-11-8,False,0.007819133661000002,0.007345181674938736,isbn:9780935702118
3,0.955,Understanding Thermodynamics,"Van Ness, H.C.",1983,9780486632773,False,0.0076884864300000005,0.0073427628697750715,isbn:9780486632773
3,0.98,Four Decades of Scientific Explanation,Salmon,2006,978-0-8229-5926-7,False,0.007487842538,0.007341698656657063,isbn:9780822959267
3,0.975,Quantum Field Theory in Curved Spacetime,Parker,2009,978-0-521-87787-9,True,0.007526397759999999,0.007339120270318,isbn:9780521877879
3,0.974,String Theory,Polchinski,2005,978-0-521-67227-6,False,0.0075318274499999996,0.007337357281883285,isbn:9780521672276
7,0.968,Quantum Field Theory,Brown,1994,978-0-521-46946-3,True,0.007569526825,0.007330696635302753,isbn:9780521469463
6,0.972,Advanced Topics in Quantum Field Theory,Shifman,2012,978-0-521-19084-8,True,0.007541053408,0.007326311271156207,isbn:9780521190848
27,0.948,Biographical Encyclopedia of Astronomers,Trimble,18 September 2007,978-0-387-30400-7,False,0.007726560496,0.0073255846407074285,isbn:9780387304007
4,0.974,The Basics of Nuclear and Particle Physics,Belyaev,2021,978-3-030-80115-1,False,0.00752074696,0.007324559327290739,isbn:9783030801151
14,0.908,Introduction to Electrodynamics,Griffiths,2013,978-0-321-85656-2,True,0.008062381757999998,0.007322418912215885,isbn:9780321856562
4,0.969,Climbing the Mountain: The Scientific Biography of Julian Schwinger,Mehra,2000,978-0-19-850658-4,False,0.007555051,0.007319828577882933,isbn:9780198506584
3,0.98,Fundamental Physics: Extended Third Edition,Halliday,1988,0-471-81995-6,False,0.007463168931,0.007314571656220963,isbn:0471819956
3,0.957,The Biggest Ideas in the Universe: quanta and fields,Carroll,2024,978-0-593-18660-2,False,0.00763911815,0.007314007515109615,isbn:9780593186602
3,0.976,"The Feynman lectures on physics. Volume 1: Mainly mechanics, radiation, and heat",Feynman,2011,978-0-465-04085-8,False,0.007491660497,0.0073137577424170356,isbn:9780465040858
6,0.943,Engineering Mechanics: Dynamics,Russelkl C Hibbeler,2009,978-0-13-607791-6,False,0.007753038904,0.0073109234558682065,isbn:9780136077916
4,0.975,Conformal Field Theory,Di Francesco,1997,978-1-4612-7475-9,False,0.0074915692209999996,0.0073074328632799996,isbn:9781461274759
5,0.96,General relativity and the Einstein equations,Choquet-Bruhat,2008,978-0-199-23072-3,True,0.007613557026000001,0.007305765845488092,isbn:9780199230723
5,0.953,Elements of Newtonian Mechanics,Knudsen,2012,978-3-642-97599-8,False,0.007666597860000001,0.007305341189632759,isbn:9783642975998
10,0.881,A First Course in String Theory,Zwiebach,2009,978-0-521-88032-9,False,0.00829145243,0.007304469896097371,isbn:9780521880329
5,0.947,Electrodynamics from Ampére to Einstein,"Darrigol, Olivier",2000,0-19-850594-9,False,0.007709789908999999,0.007300662220908943,isbn:0198505949
3,0.967,Electromagnetic Fields,Wangsness,1986,978-0-471-81186-2,False,0.0075389945800000005,0.007293350514525865,isbn:9780471811862
3,0.967,General Principles of Quantum Field Theory,Bogoliubov,1990,978-0-7923-0540-8,True,0.007538286617,0.00729209792715548,isbn:9780792305408
3,0.971,Quantum Mechanics: Nonrelativistic Theory,Landau,1977,978-0-7506-3539-4,False,0.0075054781919999996,0.007291347196237347,isbn:9780750635394
15,0.93,Exactly solved models in statistical mechanics,Baxter,1982,978-0-12-083180-7,True,0.007841186125999999,0.007290624360104417,isbn:9780120831807
3,0.991,Modern Cosmology 2nd Edition,Dodelson,2020,978-0128159484,True,0.007357145894000001,0.007290511580823732,isbn:9780128159484
4,0.973,A History of Mechanics,Dugas,1988,0-486-65632-2,False,0.007490385554,0.0072896266608322765,isbn:0486656322
5,0.917,Modern Physics,Tipler,2008,978-0-7167-7550-8,False,0.007946334073000001,0.007288586857264049,isbn:9780716775508
48,0.752,Quantum Theory for Mathematicians,Hall,2013,978-1-4614-7115-8,False,0.009676799021999999,0.007273052145359823,isbn:9781461471158
18,0.914,"Principles of Optics: Electromagnetic Theory of Propagation, Interference and Diffraction of Light",Born,1999-10-13,978-0521642224,False,0.007951600591,0.007268429518016684,isbn:9780521642224
10,0.954,The Enterprise of Science in Islam: New Perspectives,Kunitzsch,2003,978-0-262-19482-2,False,0.007622102845,0.007268040989230736,isbn:9780262194822
4,0.987,Theories of the World from Antiquity to the Copernican Revolution,Crowe,2001,0-486-41444-2,False,0.007361349029,0.007266907453707528,isbn:0486414442
4,0.954,"Basic Calculus of Planetary Orbits and Interplanetary Flight: The Missions of the Voyagers, Cassini and Juno",Hahn,2020,978-3-030-24868-0,False,0.00761615765,0.007264574709571373,isbn:9783030248680
5,0.92,Black-body theory and the quantum discontinuity 1894–1912,Kuhn,1978,978-0-19-502383-1,False,0.007885822130000001,0.007258759941749625,isbn:9780195023831
12,0.878,Introduction to Quantum Mechanics,Griffiths,2000,978-0-13-111892-8,True,0.008268398097,0.007256295004152993,isbn:9780131118928
3,0.968,"Statistical Physics: Statics, Dynamics and Renormalization",Kadanoff,2000,978-981-02-3764-6,False,0.007495876879999999,0.0072557070036678205,isbn:9789810237646
5,0.92,Introduction to the Theory of Ferromagnetism,Aharoni,1996,0-19-851791-2,False,0.007881819336,0.007249777098725547,isbn:0198517912
5,0.958,Energy Minimization Methods in Computer Vision and Pattern Recognition,A.K. Jain,2001,978-3-540-42523-6,False,0.007570597753000001,0.007249550748373454,isbn:9783540425236
5,0.982,"Encyclopedia of Cosmology (Routledge Revivals): Historical, Philosophical, and Scientific Foundations of Modern Cosmology",,2014,978-1317677666,True,0.007380877020000001,0.007248203367975362,isbn:9781317677666
3,0.965,The P(phi)_2 Euclidean (quantum) field theory,Simon,1974,0-691-08144-1,True,0.00750813056,0.007244780262463446,isbn:0691081441
6,0.912,"Physics for Engineering and Science, p427",,2013,978-0-07-161399-6,False,0.007938749850000001,0.007243801233869219,isbn:9780071613996
10,0.917,Principles of Optics,Born,1999,0-521-64222-1,False,0.007897942522000002,0.00724246733659516,isbn:0521642221
3,0.955,Solid state physics,Neil W. Ashcroft,1976,978-0-03-049346-1,True,0.007581226202,0.00724174223749197,isbn:9780030493461
3,0.933,The Refrigerator and the Universe,"Goldstein, Martin",1993,978-0-674-75325-9,False,0.0077614473900000005,0.0072410620939853225,isbn:9780674753259
3,0.961,Dynamics of Multibody Systems,Ahmed A. Shabana,2003,978-0-521-54411-5,False,0.0075349729,0.007238249149032917,isbn:9780521544115
4,0.922,Quantum Mechanics and Path Integrals,Feynman,2005,978-0-486-47722-0,False,0.00784303393,0.0072319684759942805,isbn:9780486477220
6,0.934,Equilibrium and Non-Equilibrium Statistical Mechanics,Balescu,1975,978-0-471-04600-4,True,0.007742461787,0.0072311482906655495,isbn:9780471046004
3,0.922,Intermediate Electromagnetic Theory,Stewart,2001,978-981-02-4471-2,False,0.00782945097,0.007221402722318521,isbn:9789810244712
4,0.923,The Character of Physical Law,Feynman,1967,0-262-56003-8,False,0.00782268924,0.0072205240487460305,isbn:0262560038
7,0.95,Principles of Classical Mechanics and Field Theory / Prinzipien der Klassischen Mechanik und Feldtheorie,Synge,1960,978-3-540-02547-4,True,0.007603441104,0.0072201246089464745,isbn:9783540025474
